タイムスタンプ,授業種別,学部,授業名,教授名/講師名,授業を受けた時期,授業を受けた時期,ニックネーム,授業の納得度（5が高い　1が低い）,単位の取得しやすさ,教科書の有無,成績のつけ方について（テストの有無など）,授業の内容や学べたこと、評価
2024/01/15 23:03:13,インターフェース科目,理工学部,がばいべんちゃー, 田中　宗浩,2023,前期,トローチ,5,3,いらない,定期試験はない。,難しいと感じたが、ためになる授業であった。
2024/01/16 2:30:32,専門科目,理工学部,画像情報処理,奥村　浩,2023,後期,トローチ,4,5,いらない,定期試験はない　レポート評価,
2024/01/18 0:45:54,インターフェース科目,理工学部,ガバいベンチャー,田中先生,2022,通年,こうしろつ,4,4,いらない,レポート提出,プログラミングが学べた
2024/01/18 0:47:19,インターフェース科目,農学部,がばべん,田中先生,2023,後期,さや,1,1,いらない,発表,難しい
2024/01/18 0:47:23,専門科目,理工学部,相対論,船久保先生,2023,後期,相対論,4,3,いらない,テスト100パーセント,宇宙物理の基礎
2024/01/18 0:48:15,インターフェース科目,理工学部,がばいベンチャー,わかりません,2023,通年,ぽ,2,5,いらない,テストはないです。パソコンポチポチすると単位もらえます。,プログラミングが難しかったです。班活動は楽しかったです。
2024/01/18 0:48:56,専門科目,理工学部,統計力学,真木先生,2022,後期,統計力学,4,3,いる,テスト100パーセント,現代物理の基礎を学べた
2024/01/18 0:51:28,インターフェース科目,理工学部,がばいベンチャー,わかりません,2023,通年,みー,5,5,いらない,サイトなどを作って発表があります。,プログラミングを学びました。
2024/01/18 1:08:28,専門科目,医学部,免疫学,ほにゃららお,2022,前期,広瀬香美,4,3,いる,テストが激ムズ,
2024/01/18 1:20:36,一般教養,経済学部,基礎トローチ学,マイカ・ホフパワー教授,2023,前期,ひろなお,5,3,いる,テスト90点 提出物10点,ホームランの打ち方
